"File","OriginalBytes","WebPBytes","SavedBytes","Status"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2640.jpg","11568079","1284784","10283295","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2645.jpg","12649143","1584602","11064541","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2648.jpg","12709005","1203652","11505353","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2652.jpg","11911087","1316908","10594179","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2655.jpg","12680189","1194512","11485677","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2669.jpg","10677249","1016444","9660805","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2670.jpg","11755384","1055944","10699440","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2680.jpg","7861024","760268","7100756","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2680-2.jpg","2271610","167136","2104474","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2684.jpg","11648161","936432","10711729","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2691.jpg","13747572","1441134","12306438","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2696.jpg","13508290","1339278","12169012","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2699.jpg","13588703","1261412","12327291","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2707.jpg","9475466","537770","8937696","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2709.jpg","10931428","1272588","9658840","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2712.jpg","5883872","791296","5092576","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2712-2.jpg","4155910","617478","3538432","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2719.jpg","12026102","1445626","10580476","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2722.jpg","13595761","1520160","12075601","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2728.jpg","11076363","1187796","9888567","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2730.jpg","11462706","1271826","10190880","Converted"
